sample_idx,level,cutoff_m,birth,death,p
55,individual,2.75,8.892936706542969,11.815195083618164,2.9222583770751953
56,individual,2.75,23.407657623291016,25.15943145751953,1.7517738342285156
56,individual,2.75,16.495615005493164,19.726228713989258,3.2306137084960938
56,individual,2.75,11.539497375488281,13.625215530395508,2.0857181549072266
57,individual,2.75,13.539926528930664,15.481892585754395,1.9419660568237305
57,individual,2.75,12.100785255432129,16.355724334716797,4.254939079284668
57,individual,2.75,7.469143390655518,8.152079582214355,0.6829361915588379
58,individual,2.75,14.935397148132324,15.930288314819336,0.9948911666870117
59,individual,2.75,16.222124099731445,19.601844787597656,3.379720687866211
59,individual,2.75,13.760886192321777,15.353282928466797,1.5923967361450195
59,individual,2.75,11.409408569335938,12.368096351623535,0.9586877822875977
60,individual,2.75,17.986356735229492,20.820613861083984,2.834257125854492
61,individual,2.75,20.15285873413086,26.710784912109375,6.557926177978516
61,individual,2.75,19.427230834960938,20.275081634521484,0.8478507995605469
61,individual,2.75,15.061540603637695,16.421354293823242,1.3598136901855469
61,individual,2.75,8.504304885864258,9.705276489257812,1.2009716033935547
62,individual,2.75,11.840544700622559,17.611547470092773,5.771002769470215
62,individual,2.75,10.863889694213867,11.693836212158203,0.8299465179443359
63,individual,2.75,21.024988174438477,21.583141326904297,0.5581531524658203
63,individual,2.75,20.531126022338867,24.423974990844727,3.8928489685058594
64,individual,2.75,16.97657585144043,19.245418548583984,2.2688426971435547
64,individual,2.75,11.010004997253418,12.939888954162598,1.9298839569091797
65,individual,2.75,10.581403732299805,11.46957778930664,0.8881740570068359
66,individual,2.75,16.34595489501953,17.529743194580078,1.1837882995605469
66,individual,2.75,12.668926239013672,15.728372573852539,3.059446334838867
67,individual,2.75,15.125492095947266,15.393989562988281,0.2684974670410156
67,individual,2.75,13.902823448181152,15.468629837036133,1.5658063888549805
67,individual,2.75,12.221182823181152,15.156704902648926,2.9355220794677734
68,individual,2.75,11.692001342773438,14.115159034729004,2.4231576919555664
69,individual,2.75,16.726367950439453,17.258394241333008,0.5320262908935547
69,individual,2.75,12.894654273986816,14.542304039001465,1.6476497650146484
70,individual,2.75,13.91523265838623,14.598006248474121,0.6827735900878906
70,individual,2.75,12.620023727416992,12.977692604064941,0.3576688766479492
70,individual,2.75,6.986419200897217,7.468204975128174,0.48178577423095703
72,individual,2.75,16.013160705566406,20.271753311157227,4.25859260559082
72,individual,2.75,13.7001314163208,15.121392250061035,1.4212608337402344
72,individual,2.75,8.735147476196289,9.29053783416748,0.5553903579711914
73,individual,2.75,19.321701049804688,21.876249313354492,2.5545482635498047
73,individual,2.75,11.742644309997559,11.945781707763672,0.20313739776611328
73,individual,2.75,8.621484756469727,8.914555549621582,0.29307079315185547
74,individual,2.75,12.59146499633789,12.600893020629883,0.009428024291992188
74,individual,2.75,11.96187686920166,12.246978759765625,0.28510189056396484
74,individual,2.75,10.190751075744629,12.831032752990723,2.6402816772460938
74,individual,2.75,9.477235794067383,12.414700508117676,2.937464714050293
75,individual,2.75,11.031305313110352,11.487767219543457,0.45646190643310547
75,individual,2.75,9.664227485656738,11.478419303894043,1.8141918182373047
76,individual,2.75,17.25753402709961,23.50202751159668,6.24449348449707
76,individual,2.75,16.3799991607666,19.537900924682617,3.1579017639160156
76,individual,2.75,15.808377265930176,16.189085006713867,0.3807077407836914
77,individual,2.75,12.496223449707031,12.881187438964844,0.3849639892578125
77,individual,2.75,7.541593074798584,8.132534980773926,0.5909419059753418
78,individual,2.75,13.475831031799316,16.274959564208984,2.799128532409668
78,individual,2.75,10.606602668762207,10.858954429626465,0.2523517608642578
78,individual,2.75,10.007122039794922,10.098519325256348,0.09139728546142578
79,individual,2.75,14.802638053894043,15.38546371459961,0.5828256607055664
79,individual,2.75,13.774443626403809,14.335251808166504,0.5608081817626953
79,individual,2.75,8.992424964904785,10.446573257446289,1.454148292541504
79,individual,2.75,8.089823722839355,8.351194381713867,0.2613706588745117
