delta,mean_ch,mean_sil,mean_ic,n
33.5,18.20202900284188,0.6520556938187141,0.048581903028896915,43681
33.75,18.576686594149493,0.6560704310623842,0.045833771790762784,43681
34.0,18.952869173857998,0.6599709091488857,0.04321992561555897,43681
34.25,19.29529968700137,0.6633786368242661,0.041003042060421165,43681
34.5,19.655690061060607,0.6668400003741021,0.03876180155252515,43681
34.75,20.02704712563301,0.6701796073334872,0.0365204895284602,43681
35.0,20.40591636369428,0.6736053419489992,0.034395284247968096,43681
35.25,20.775821507010484,0.6767929038401227,0.03244100673379702,43681
35.5,21.16679580120118,0.6801621428523235,0.030541693274712005,43681
35.75,21.530037160062545,0.6831786370275366,0.028843914684275888,43681
36.0,21.89282643227854,0.6860611630119452,0.02724384996954832,43681
36.25,22.285770448970975,0.6892012660927805,0.025692642192675027,43681
36.5,22.645333678903544,0.691946832597427,0.024269683877669215,43681
36.75,23.040334787969694,0.6949047864757153,0.022962760790067305,43681
37.0,23.429756772764144,0.6977469229548336,0.021759658695405738,43681
37.25,23.83875812501728,0.700524623691421,0.020556556600744173,43681
37.5,24.189752999468197,0.7029434740099234,0.01946948973348651,43681
37.75,24.526527052677974,0.7053020514758439,0.018528993679791682,43681
38.0,24.883570578943903,0.7075168967603751,0.017594604743328635,43681
38.25,25.18647323844664,0.709349132867966,0.01680678662042842,43681
38.5,25.510224795913174,0.7112917557154529,0.015994540028601067,43681
38.75,25.87001685832016,0.7135553363271987,0.015078472443833375,43681
39.0,26.16460839421611,0.7153763712498861,0.014363939727714577,43681
39.25,26.470600298116736,0.7171130018175478,0.013753228004536117,43681
39.5,26.805044880528087,0.7189871428956611,0.012995945467794826,43681
39.75,27.087900346526194,0.7204814718505552,0.012427983565238856,43681
40.0,27.36695428587954,0.7220580888474936,0.011841700310987534,43681
